#99990 lat=-72.012 lon=2.537 elev=1277 name=TROLL_I_ANTARKTIS
23500 lat=61.122 lon=9.063 elev=521 name=LØKEN_I_VOLBU
23550 lat=61.2508 lon=8.9228 elev=965 name=BEITOSTØLEN_II
23560 lat=61.2433 lon=8.8557 elev=754 name=BEITO
23720 lat=61.124 lon=8.569 elev=489 name=VANG_I_VALDRES
54710 lat=61.178 lon=8.1125 elev=956 name=FILEFJELL_-_KYRKJESTØLANE
#54731 lat=61.1783 lon=8.1527 elev=1010 name=EV16_FILEFJELL
26900 lat=59.7537 lon=10.1237 elev=8 name=DRAMMEN_-_BERSKOG
27010 lat=59.713 lon=10.146 elev=193 name=KONNERUD
28380 lat=59.6247 lon=9.6377 elev=170 name=KONGSBERG_BRANNSTASJON
20250 lat=60.1088 lon=10.2949 elev=66 name=HOLE
20280 lat=60.1403 lon=10.2662 elev=126 name=HØNEFOSS_-_HVERVEN
20301 lat=60.1665 lon=10.2478 elev=140 name=HØNEFOSS_-_HØYBY
#20361 lat=60.2052 lon=10.3113 elev=190 name=RV35_EGGEMOEN
24210 lat=60.2383 lon=9.9262 elev=140 name=SOKNA_II
#24230 lat=60.2225 lon=9.8408 elev=210 name=RV7_SOKNA
#24350 lat=60.0518 lon=10.049 elev=135 name=RV35_NAKKERUD
24710 lat=60.383 lon=9.605 elev=142 name=GULSVIK_II
#26450 lat=60.3667 lon=9.186 elev=890 name=FV211_HAGLEBU
24890 lat=60.5672 lon=9.1337 elev=166 name=NESBYEN_-_TODOKK
24960 lat=60.7195 lon=8.9475 elev=542 name=GOL_-_STAKE
25100 lat=60.8703 lon=8.5285 elev=648 name=HEMSEDAL_-_HØLTO
25110 lat=60.8548 lon=8.593 elev=604 name=HEMSEDAL_II
25112 lat=60.8705 lon=8.5175 elev=807 name=HEMSEDAL_-_HOLLEKOLTEN
#25165 lat=60.9757 lon=8.1557 elev=1130 name=RV52_HEMSEDALSFJELLET
25260 lat=60.6785 lon=8.2783 elev=863 name=VATS_-_RANDEN
25320 lat=60.6391 lon=8.5609 elev=720 name=ÅL_III
25540 lat=60.6783 lon=8.0112 elev=969 name=BAKKO_I_HOL
25541 lat=60.6802 lon=8.0038 elev=1020 name=BAKKO_I_HOL_II
#25580 lat=60.5825 lon=8.3213 elev=670 name=RV7_KVISLA_I_HOL
25630 lat=60.53 lon=8.1948 elev=772 name=GEILO_-_OLDEBRÅTEN
25640 lat=60.532 lon=8.1483 elev=841 name=GEILO
29720 lat=60.4158 lon=8.501 elev=798 name=DAGALI_LUFTHAVN
26350 lat=60.1357 lon=9.4388 elev=143 name=SIGDAL_-_NEDRE_EGGEDAL
26380 lat=60.2472 lon=9.346 elev=293 name=EGGEDAL_III
24600 lat=60.1377 lon=9.597 elev=367 name=GRIMELI_I_KRØDSHERAD
#24670 lat=60.2685 lon=9.6923 elev=150 name=RV7_ØVRE_KRØDSHERAD
19930 lat=59.8684 lon=10.0563 elev=375 name=GLITRE
26670 lat=59.6252 lon=9.9534 elev=21 name=HAKAVIK
26820 lat=59.7613 lon=9.8922 elev=15 name=HOKKSUND
#19923 lat=59.819 lon=10.33 elev=250 name=EV18_LIERSKOGEN
19940 lat=59.7902 lon=10.2607 elev=39 name=LIER
19820 lat=59.6272 lon=10.5645 elev=363 name=HURUM_RADAR
28922 lat=60.0435 lon=9.1468 elev=275 name=VEGGLI_II
29350 lat=60.255 lon=8.7057 elev=648 name=UVDAL_KRAFTVERK
29600 lat=60.4629 lon=8.7511 elev=870 name=TUNHOVD
#29700 lat=60.3738 lon=8.4885 elev=1035 name=FV40_DAGALI
#27130 lat=59.432 lon=10.4217 elev=40 name=FV310_KOTTERUDSVINGEN
27140 lat=59.4168 lon=10.4382 elev=12 name=BORREVANNET
#27065 lat=59.531 lon=10.2643 elev=25 name=FV13_BOGEN
27270 lat=59.278 lon=10.4312 elev=3 name=TØNSBERG_-_KILEN
#27285 lat=59.3183 lon=10.3748 elev=30 name=EV18_GULLI_NORD
27330 lat=59.2938 lon=10.2983 elev=33 name=TØNSBERG_-_TARANRØD
27470 lat=59.1845 lon=10.2553 elev=88 name=TORP
27564 lat=59.1505 lon=10.2025 elev=72 name=SANDEFJORD_-_MOSSERØD
27600 lat=59.132 lon=10.2147 elev=6 name=SANDEFJORD
#27730 lat=59.1828 lon=10.2077 elev=100 name=EV18_FOKSERØD
27780 lat=59.0467 lon=10.125 elev=19 name=TJØLLING
#27785 lat=59.107 lon=10.1062 elev=70 name=E18_RØDBØL
27800 lat=59.196 lon=9.9641 elev=31 name=HEDRUM
29950 lat=58.9688 lon=10.148 elev=15 name=SVENNER_FYR
30000 lat=59.053 lon=10.0272 elev=28 name=LARVIK
#30020 lat=59.0768 lon=10.0448 elev=55 name=EV18_VESTMARKA
